text,label
Everything is going well. lately,happy
Deadlines are killing me.,stressed
That made me really mad. right now,angry
"I can't relax, something always feels off. right now",anxious
"I can't relax, something always feels off. lately",anxious
I'm really heartbroken. today,sad
I’m scared of what might happen. today,anxious
I can't stop smiling! this week,happy
I keep worrying about everything. this week,anxious
I’m tired of all this nonsense. this week,angry
This pressure is too much. right now,stressed
"I can't relax, something always feels off.",anxious
I can't focus on anything.,stressed
That made me really mad. this week,angry
It’s just another day. lately,neutral
I’m not feeling much at all. this week,neutral
I feel so down today. today,sad
I'm feeling empty.,sad
I'm really enjoying my time. today,happy
Pretty average mood right now. right now,neutral
I can't focus on anything. today,stressed
I feel nervous all the time.,anxious
Nothing makes sense anymore. lately,sad
I keep worrying about everything. right now,anxious
I’m not feeling much at all. lately,neutral
I feel nervous all the time. this week,anxious
Life seems pointless right now. today,sad
This is the best day ever! lately,happy
I feel so down today. right now,sad
I’m tired of all this nonsense. this week,angry
I'm just okay. lately,neutral
I feel so great today! lately,happy
This is the best day ever!,happy
I keep worrying about everything. today,anxious
Deadlines are killing me. right now,stressed
I keep worrying about everything. today,anxious
Deadlines are killing me. today,stressed
This is the best day ever! lately,happy
That made me really mad. this week,angry
Deadlines are killing me. right now,stressed
Deadlines are killing me. today,stressed
I'm so frustrated! right now,angry
I can't believe they did that! right now,angry
My thoughts won’t stop racing.,anxious
I'm really heartbroken. lately,sad
I can't stop smiling! this week,happy
I'm really heartbroken. this week,sad
Life seems pointless right now. today,sad
I feel nervous all the time. lately,anxious
I'm feeling empty. today,sad
I'm overwhelmed with work. right now,stressed
Why does this always happen to me? lately,angry
I’m scared of what might happen. today,anxious
I can't focus on anything. right now,stressed
I feel nervous all the time. this week,anxious
I'm overwhelmed with work. right now,stressed
That made me really mad. today,angry
This is the best day ever! today,happy
I keep worrying about everything. this week,anxious
I'm really heartbroken. right now,sad
I'm really heartbroken. lately,sad
Life seems pointless right now. today,sad
I feel nervous all the time. lately,anxious
I feel so great today! lately,happy
My thoughts won’t stop racing.,anxious
Pretty average mood right now. this week,neutral
I'm really enjoying my time. lately,happy
That made me really mad. lately,angry
Pretty average mood right now. lately,neutral
It’s just another day. right now,neutral
I'm really enjoying my time. lately,happy
I keep worrying about everything. this week,anxious
Pretty average mood right now. this week,neutral
"I can't relax, something always feels off. today",anxious
This pressure is too much. this week,stressed
My thoughts won’t stop racing. right now,anxious
I'm so frustrated!,angry
I feel so great today! right now,happy
"I can't relax, something always feels off. right now",anxious
That made me really mad.,angry
"I can't relax, something always feels off. right now",anxious
Nothing makes sense anymore. right now,sad
I'm feeling empty. lately,sad
That made me really mad. today,angry
Nothing makes sense anymore. today,sad
This pressure is too much.,stressed
Life seems pointless right now. today,sad
This pressure is too much.,stressed
That made me really mad. today,angry
I feel so great today!,happy
I feel so great today! this week,happy
I have too much to do. today,stressed
I'm really heartbroken.,sad
That made me really mad. today,angry
I have too much to do. this week,stressed
Nothing makes sense anymore. right now,sad
Pretty average mood right now. right now,neutral
Life seems pointless right now. this week,sad
I can't believe they did that! today,angry
I’m tired of all this nonsense. today,angry
"I can't relax, something always feels off. lately",anxious
Nothing makes sense anymore. today,sad
This is the best day ever! right now,happy
I feel so great today! today,happy
This is the best day ever! today,happy
I'm really heartbroken. lately,sad
This is the best day ever! this week,happy
I'm feeling empty. lately,sad
I feel nervous all the time. right now,anxious
I can't stop smiling! today,happy
Pretty average mood right now. right now,neutral
I'm really heartbroken. today,sad
I’m scared of what might happen.,anxious
This pressure is too much. right now,stressed
Pretty average mood right now. right now,neutral
Pretty average mood right now. today,neutral
I feel so great today! this week,happy
Deadlines are killing me.,stressed
I keep worrying about everything. lately,anxious
Nothing makes sense anymore. this week,sad
I feel nervous all the time. lately,anxious
I can't focus on anything. today,stressed
I feel so great today! right now,happy
Why does this always happen to me? this week,angry
Everything is going well. today,happy
I'm really heartbroken.,sad
Everything is going well. today,happy
I’m not feeling much at all. this week,neutral
I can't stop smiling! this week,happy
I'm really enjoying my time. lately,happy
Everything is going well.,happy
I can't focus on anything.,stressed
Life seems pointless right now. right now,sad
I have too much to do. this week,stressed
This is the best day ever! today,happy
I can't focus on anything. lately,stressed
I'm really enjoying my time. today,happy
That made me really mad. this week,angry
Everything is going well. right now,happy
This is the best day ever! this week,happy
I can't stop smiling! this week,happy
I'm overwhelmed with work. right now,stressed
I’m scared of what might happen. today,anxious
"I can't relax, something always feels off. this week",anxious
"I can't relax, something always feels off.",anxious
Everything is going well. this week,happy
That made me really mad. today,angry
I'm really heartbroken. this week,sad
I'm overwhelmed with work. lately,stressed
Why does this always happen to me? today,angry
Deadlines are killing me. this week,stressed
I'm so frustrated! lately,angry
Why does this always happen to me?,angry
I have too much to do. lately,stressed
Life seems pointless right now. lately,sad
I'm overwhelmed with work. this week,stressed
Pretty average mood right now. lately,neutral
I’m not feeling much at all. right now,neutral
I can't stop smiling! today,happy
Everything is going well. lately,happy
I'm really heartbroken. today,sad
Life seems pointless right now.,sad
Pretty average mood right now.,neutral
I feel so down today. today,sad
I’m scared of what might happen.,anxious
I can't stop smiling! today,happy
Deadlines are killing me. today,stressed
I can't believe they did that! today,angry
I’m tired of all this nonsense. right now,angry
I feel so great today!,happy
Nothing makes sense anymore. lately,sad
My thoughts won’t stop racing.,anxious
My thoughts won’t stop racing.,anxious
I feel nervous all the time. lately,anxious
I'm really enjoying my time. lately,happy
I'm feeling empty. this week,sad
I'm really enjoying my time. lately,happy
I'm just okay. this week,neutral
I'm just okay. lately,neutral
I keep worrying about everything. right now,anxious
I keep worrying about everything. right now,anxious
Nothing makes sense anymore.,sad
I can't focus on anything. lately,stressed
I feel so great today!,happy
I feel so down today. this week,sad
Everything is going well.,happy
That made me really mad. right now,angry
I feel nervous all the time.,anxious
I can't focus on anything. lately,stressed
It’s just another day. this week,neutral
It’s just another day. right now,neutral
I'm feeling empty. lately,sad
I'm just okay.,neutral
Why does this always happen to me? right now,angry
I can't focus on anything.,stressed
I'm overwhelmed with work. right now,stressed
Life seems pointless right now. this week,sad
Nothing makes sense anymore. right now,sad
I can't stop smiling! lately,happy
I'm really enjoying my time. right now,happy
Nothing makes sense anymore. lately,sad
I can't focus on anything. today,stressed
Nothing special going on today. this week,neutral
Life seems pointless right now. right now,sad
This is the best day ever! right now,happy
I'm really enjoying my time. lately,happy
I feel so down today. this week,sad
My thoughts won’t stop racing.,anxious
This pressure is too much. today,stressed
I’m not feeling much at all. lately,neutral
This pressure is too much. this week,stressed
I'm overwhelmed with work. lately,stressed
Nothing special going on today. lately,neutral
I keep worrying about everything.,anxious
It’s just another day. this week,neutral
I’m scared of what might happen. this week,anxious
Pretty average mood right now. this week,neutral
I’m not feeling much at all. this week,neutral
Why does this always happen to me? this week,angry
I feel nervous all the time. lately,anxious
I feel so great today! this week,happy
That made me really mad. lately,angry
I’m tired of all this nonsense. today,angry
This is the best day ever! right now,happy
Why does this always happen to me?,angry
I’m not feeling much at all. right now,neutral
Why does this always happen to me? right now,angry
Why does this always happen to me? this week,angry
Pretty average mood right now. today,neutral
I'm so frustrated! today,angry
I can't believe they did that!,angry
Nothing special going on today. right now,neutral
Everything is going well. right now,happy
Nothing special going on today. lately,neutral
This pressure is too much. right now,stressed
I can't stop smiling! lately,happy
My thoughts won’t stop racing. today,anxious
Life seems pointless right now. lately,sad
I feel so down today. right now,sad
I can't believe they did that!,angry
It’s just another day. right now,neutral
This is the best day ever! this week,happy
Why does this always happen to me? lately,angry
I keep worrying about everything. lately,anxious
I feel so great today! today,happy
It’s just another day.,neutral
I'm just okay. today,neutral
Life seems pointless right now. today,sad
